edit_history_tweet_ids,geo,created_at,text,neg,neu,pos,compound,overall_sentiment
['1593770818521423872'],,2022-11-19T00:59:08.000Z,"RT @thelivingtr: Lama tak dengar lagu ni
Selamat mengundi semua ðŸ‡²ðŸ‡¾

#Undi18 #PRU15 https://t.co/nyQvHOnoFK",0.116,0.688,0.196,0.3612,positive
['1593770814909779968'],,2022-11-19T00:59:07.000Z,"not expecting much, just expecting to get a new Malaysia in upcoming year 
#GE15 #PRU15 #PakatanHarapan #PerikatanNasional #BarisanNasional #Gerakan",0,1,0,0,neutral
['1593770808962617344'],,2022-11-19T00:59:06.000Z,"RT @syazwnr: PLEASE go out to vote esok. Jangan kira tak suka politik, tak kisah. Hidup semua berkait politik.

Isu gaji rendah, public traâ€¦",0.114,0.717,0.169,0.3678,positive
['1593770808820002816'],,2022-11-19T00:59:06.000Z,RT @mcndnona: NGL this image helped me a lot for me to make final desicion. I'm not expecting a total twist by myself ðŸ˜³ #Undi18 #PRU15 httpâ€¦,0,1,0,0,neutral
['1593770808228601856'],,2022-11-19T00:59:06.000Z,"Voted and did it for #PakatanHarapan! Go get your finger inked too, #Malaysians! #votevotevote #ge15 #malaysiavotes #pakatanharapan https://t.co/7d0XYpl4BL",0,1,0,0,neutral
['1593770801563840512'],,2022-11-19T00:59:04.000Z,"RT @anwaribrahim: AMANAT ANWAR IBRAHIM DARI TAMBUN KE PUTRAJAYA - FALSAFAH HIDUP SAYA

#REFORMASI #GETOUTTOVOTE #SATUJARIREFORMASI #GO2V #Kâ€¦",0,1,0,0,neutral
['1593770795847028737'],,2022-11-19T00:59:03.000Z,"Done!

#GE15 https://t.co/DrkxO8wDgX",0,1,0,0,neutral
['1593770792826781697'],,2022-11-19T00:59:02.000Z,#GE15 #PakatanHarapan #KitaBoleh #Malaysian https://t.co/D5rxINwZyQ,0,1,0,0,neutral
['1593770791648530433'],,2022-11-19T00:59:02.000Z,"Kena tunjuk mysejahtera ke ms nk undi?
Ke tak payah?
#GeneralElection2022 
#PRU15",0,0.869,0.131,0.167,positive
['1593770787882029056'],,2022-11-19T00:59:01.000Z,"RT @sharifahyasmiin: If MySPR is down for you, hereâ€™s an alternative site to check your polling station and saluran: https://t.co/9GRW4hrKGâ€¦",0,1,0,0,neutral
['1593770767191527424'],,2022-11-19T00:58:56.000Z,"The pulis guy asked me what race i am after exiting the polling station and I'm offended. ðŸ™ƒðŸ”ª

#GE15",0.087,0.913,0,-0.25,negative
['1593770755589738497'],,2022-11-19T00:58:53.000Z,"@Kh0ngK3kKw4t @fmtoday Tapi, Anwar Ibrahim memilih untuk berpegang teguh pada prinsip....terus menentang sistem yg bobrok utk membawa Malaysia ke kecemerlangan. 

Jangan sia-siakan pengorbanan Anwar Ibrahim. Pengorbanan seorang pejuang umpama yg kita hanya sering baca di dalam cerita dan hikayat....",0,0.787,0.213,0.8602,positive
['1593770749482848256'],,2022-11-19T00:58:52.000Z,"RT @JPenerangan: [ KENYATAAN MEDIA ]

URUSAN PILIHAN RAYA UMUM KE-15 (PRU KE-15) BAHAGIAN PILIHAN RAYA PARLIMEN P.017 PADANG SERAI

#PRU15â€¦",0,1,0,0,neutral
['1593770745758638081'],,2022-11-19T00:58:51.000Z,"Selamat mengundi, Malaysia!

Pangkahlah dengan bijak!

#PRU15",0.166,0.301,0.533,0.7081,positive
['1593770743048699904'],,2022-11-19T00:58:50.000Z,RT @Alif_Ridzo: First voter in my Saluran.. #GE15 https://t.co/zyMz2niJ4D,0,1,0,0,neutral
['1593770728138379264'],,2022-11-19T00:58:47.000Z,"Tak sabar nak double tap kat ig gmbr2 jari. Selamat mengundi semuanya.. especially for first timer. 

#HariMengundi
#MalaysiaMemilih 
#PRU15 https://t.co/UdkHdDq1gG",0,1,0,0,neutral
['1593770726858706945'],,2022-11-19T00:58:46.000Z,RT @bernamadotcom: #PRU15: Hujan lebat di pusat mengundi Sekolah Agama Bandar Sri Lambak bagi Parlimen Sembrong yang akan menyaksikan saingâ€¦,0,1,0,0,neutral
['1593770725651124224'],,2022-11-19T00:58:46.000Z,#PRU15 https://t.co/m6W8rO7t0S,0,1,0,0,neutral
['1593770719607140352'],,2022-11-19T00:58:45.000Z,"siap!

#MalaysiaMemilih #PRU15 https://t.co/wGE18qSnBw",0,0.518,0.482,0.4199,positive
['1593770710669103105'],,2022-11-19T00:58:42.000Z,"RT @AnggunxXOXO: If you don't vote, don't complain. 

If you choose BN because you can't stand DAP, don't complain when things are shitty.â€¦",0.073,0.842,0.085,0.0743,positive
['1593770710618451968'],,2022-11-19T00:58:42.000Z,"RT @cheanchung: Selesai! Anda camne? 

#LeeCheanChung #KitaBoleh #PRU15 https://t.co/r9snAvc7gG",0,1,0,0,neutral
['1593770706461896704'],,2022-11-19T00:58:41.000Z,"RT @AzlilAdzif: Hshshshdh Diva AA to Azmin Ali: 

#GE15 https://t.co/tq30ei4rF3",0,1,0,0,neutral
['1593770704427978752'],,2022-11-19T00:58:41.000Z,RT @ustazwadiannuar: Pemimpin akhir zaman | @ustazwadiannuar #pru #pru15 #islam #dakwah #aswj #sunnah #pemimpin #uwa https://t.co/jwYEvRQeTY,0,1,0,0,neutral
['1593770693820547072'],,2022-11-19T00:58:38.000Z,"P075 Bagan Datuk - Datuk Seri @DrZahidHamidi  menunjukkan calitan cap jari selepas selesai membuang undi di Madrasah Manbail Ulum, Sungai Nipah Darat, sebentar tadi.

#MalaysiaBerintegriti #PRU15 https://t.co/vN2bPQR5I5",0,1,0,0,neutral
['1593770692100882433'],,2022-11-19T00:58:38.000Z,"DONE 
#GE15
#malaysia https://t.co/roSwGwSVor",0,1,0,0,neutral
['1593770689558740992'],,2022-11-19T00:58:37.000Z,RT @SyakireenOthman: Batu Pahat masih hujan lagi ni &amp; ni keadaan di salah sebuah sekolah yang jadi tempat untuk mengundi. #PRU15 #GeneralElâ€¦,0,1,0,0,neutral
['1593770688841920512'],,2022-11-19T00:58:37.000Z,"RT @ernestngBRO: If Malaysia was anime part 66 (1/3) 

Short chapter before I go back hometown to undi #PRU15 #MalaysiaMemilih https://t.coâ€¦",0,1,0,0,neutral
['1593770688271495169'],,2022-11-19T00:58:37.000Z,"Selamat mengundi guys! Vote wisely ðŸ˜

#PRU15 
#MalaysiaMemilih",0,0.417,0.583,0.8687,positive
['1593770685507436546'],,2022-11-19T00:58:36.000Z,"RT @petertian: Good Morning, ðŸŽ¼ðŸŽ¶ rain, rain come soon in Kota Kinabalu. ðŸŽ¶ðŸŽ¼ðŸŽ¤ðŸŽ§ðŸŽ·ðŸŽ¸ðŸŽ¹ðŸŽºðŸŽ»ðŸ¥ Happy polling day #GE15 #GeneralElection2022 #PRU15 #Undiâ€¦",0,0.833,0.167,0.765,positive
['1593770682797953024'],,2022-11-19T00:58:36.000Z,"RT @Media_Selangor: Selamat mengundi!

Sekarang sedang berada di kawasan Sekolah Menengah Kebangsaan Subang Bestari, Seksyen U5, Shah Alamâ€¦",0,0.778,0.222,0.6114,positive
['1593770678159040512'],,2022-11-19T00:58:35.000Z,#PRU15 https://t.co/ElL2zxIsfa,0,1,0,0,neutral
['1593770677127229441'],,2022-11-19T00:58:34.000Z,"Selamat menunaikan tanggungjawab mengundi semua! Remember that the future of our country is in our hand and we have the power to make a change today. Happy voting dan jangan lupa bawa IC! â¤ï¸

#PRU15 https://t.co/88ECpk1yGg",0,0.733,0.267,0.9011,positive
['1593770675906686976'],,2022-11-19T00:58:34.000Z,RT @anchovies23: Patriotic Malaysians queuing in the rain to #VoteMalaysia #PRU15 #GE15 #UndiHarapan https://t.co/n3VvUhSy3E,0,1,0,0,neutral
['1593770673507532800'],"{'place_id': '24c8469875cb4749', 'coordinates': {'type': 'Point', 'coordinates': [100.99106943, 3.67716414]}}",2022-11-19T00:58:34.000Z,Done #GE15 (@ SMK SG BESAR) https://t.co/o0mubooD2F https://t.co/Sd4k362V9z,0,1,0,0,neutral
['1593770668776394752'],,2022-11-19T00:58:32.000Z,"RT @BadBoy2662: The man. The myth. The legend. 
And his people. ðŸ˜­

Malaysia will have a new PM tomorrow...
Dato Seri Anwar Ibrahim.

H A Râ€¦",0.103,0.897,0,-0.4767,negative
['1593770667820089344'],,2022-11-19T00:58:32.000Z,"Calon Perikatan Nasional bagi Parlimen Sepang Datuk Seri Rina Mohd Harun tiba bersama ibunya Taiyibah Rusli, 72, bagi menunaikan tanggungjawab mengundi di SK Bandar Baru Salak Tinggi, Selangor.

#PRU15 #AndaPenentu https://t.co/Yv875cs6LZ",0,0.912,0.088,0.4404,positive
['1593770644646547456'],,2022-11-19T00:58:27.000Z,RT @bernamadotcom: #PRU15: Pengacara Sensasi Azwan Ali antara pengundi terawal bersedia untuk menunaikan tanggungjawab mengundi bagi Parlimâ€¦,0,0.787,0.213,0.6597,positive
['1593770634982477826'],,2022-11-19T00:58:24.000Z,RT @rzmnrm: Done!! #GE15 #UndiBanjir #UndiHarapan https://t.co/BdwXLwycXw,0,1,0,0,neutral
['1593770630188478466'],,2022-11-19T00:58:23.000Z,Simpan Sini @Alisakhaleeda #PRU15 #UndiLakiBini https://t.co/TKt7wlQDft,0,0.61,0.39,0.4939,positive
['1593770605861797890'],,2022-11-19T00:58:17.000Z,Done cucuk jubur Thanos #PRU15 #GE15,0,1,0,0,neutral
['1593770601734234112'],,2022-11-19T00:58:16.000Z,"RT @JPenerangan: Berikut merupakan panduan kepada pengundi sebelum pengundian dilakukan.

Layari https://t.co/Hk2FJo13ie untuk maklumat lanâ€¦",0,1,0,0,neutral
['1593770585594953728'],,2022-11-19T00:58:13.000Z,"#PRU15: Calon BN bagi DUN Peramu Jaya Datuk Mohamad Nizar Mohd Najib dan isteri Datin Nur Sharmila Shaheen selesai mengundi di SMK Peramu Jaya, Pekan, Pahang.

#PRU15BERNAMA #MalaysiaMemilih #AndaPenentu https://t.co/xsmR5IMXgR",0,1,0,0,neutral
['1593770584579936256'],,2022-11-19T00:58:12.000Z,"RT @AbdMydin: Putrajaya, i will fix your lifts. I promise.
#PutrajayaBoleh 
#HARAPAN
#GE15 https://t.co/JOjELUGSyl",0,0.85,0.15,0.3182,positive
['1593770582968934402'],,2022-11-19T00:58:12.000Z,First voter in my Saluran.. #GE15 https://t.co/zyMz2niJ4D,0,1,0,0,neutral
['1593770582927364097'],,2022-11-19T00:58:12.000Z,"RT @Muzuzxck: Doa cadangan untuk memilih pemimpin. Silakan untuk baca dan sebarkan. 

Moga Allah jadikan negara Malaysia sebagai negara yanâ€¦",0,1,0,0,neutral
['1593770574538416128'],,2022-11-19T00:58:10.000Z,"RT @Natcromancer: This is it. It's the day of #GE15 #PRU15 

Stay safe. Vote for progress!

Note: It's 5:37 am at the time of writing and iâ€¦",0,0.807,0.193,0.7177,positive
['1593770573817352192'],,2022-11-19T00:58:10.000Z,"RT @JPenerangan: Berikut merupakan panduan kepada pengundi iaitu dilarang sama sekali membawa kertas undi keluar pusat mengundi.

Layari htâ€¦",0,1,0,0,neutral
['1593770573535932416'],,2022-11-19T00:58:10.000Z,"RT @ErahSoo: Penuh TL untuk mengundi nanti. Mari Erah share promo/diskaun untuk anda gunakan selepas dihari mengundi nanti! 

Sebarkan! Nanâ€¦",0,0.883,0.117,0.4184,positive
['1593770565487460352'],,2022-11-19T00:58:08.000Z,"PRU15: @sprgovmy sediakan perkhidmatan 'shuttle' kereta kepada pengundi warga emas di Pusat Mengundi SK Titi Gajah, Alor Setar, Kedah. 

Wartawan @beritaalhijrah Siti Paridah Busairi melaporkan. 

#PRU15
#KitaUndi https://t.co/t3K3EAz9bR",0,1,0,0,neutral
['1593770565042548736'],,2022-11-19T00:58:08.000Z,ðŸ—³ï¸ðŸ”º #GE15 https://t.co/KitKE2fH4U,0,1,0,0,neutral
['1593770564505989122'],,2022-11-19T00:58:08.000Z,"RT @GejalaSosialite: ðŸ—³#GE15 checklistâ—ï¸

â€¢ NRIC 
â€¢ Semakan Daftar Pemilih 
(either printed or a screenshot) 
â€¢ Comfortable, sensible clotheâ€¦",0,0.883,0.117,0.5106,positive
['1593770556083798017'],,2022-11-19T00:58:06.000Z,"TRIPLE THREAT MATCH! 
PH VS BN VS PN!

CHOOSE YOUR FIGHTER! #GE15",0.269,0.63,0.101,-0.5684,negative
['1593778576285130753'],,2022-11-19T01:29:58.000Z,"RT @BernamaTV: Kerusi Tumpuan Parlimen

#PRU15 #AndaPenentu https://t.co/XT5fVNgkP8",0,1,0,0,neutral
['1593778575844311041'],,2022-11-19T01:29:58.000Z,"RT @JaynePals: GenevaðŸ‡¨ðŸ‡­âœˆï¸ ðŸ‡²ðŸ‡¾, our ballots have arrived ðŸ“¨ &amp; were passed on to @UNDI18MY team at KLIA #MalaysiaMemilih #GE15 https://t.co/aQYâ€¦",0,1,0,0,neutral
['1593778570127544320'],,2022-11-19T01:29:56.000Z,RT @CritterFromMars: Done voting #GE15 https://t.co/jLYohyio4A,0,1,0,0,neutral
['1593778562938859520'],,2022-11-19T01:29:55.000Z,"Happy voting to all!

#PRU15 #LIMA2023 #LetsGoLIMA23 #Aerospace #Maritime #MalaysiaExhibition https://t.co/3RiPfona3y",0,0.715,0.285,0.6114,positive
['1593778558588968960'],,2022-11-19T01:29:53.000Z,"RT @shiebnaa_: Politics doesn't concern you? 

Well what about:
â–«ï¸Public transportation services
â–«ï¸Minimum wage
â–«ï¸Covid restrictions
â–«ï¸Flooâ€¦",0.07,0.93,0,-0.2057,negative
['1593778556248604679'],,2022-11-19T01:29:53.000Z,"One of Malaysia's most valuable fingers!
Together we can make the change!

Selamat mengundi.
#GE15
#AyuhMalaysia https://t.co/sYCz1FZfTj",0,0.801,0.199,0.6094,positive
['1593778550242684928'],,2022-11-19T01:29:52.000Z,"RT @f4izalhassan: Antara teks khutbah Jumaat negeri Perak hari ini. 

â€œSiapakah antara calon memiliki imej bersih bebas rasuah?Siapakah antâ€¦",0,0.8,0.2,0.7184,positive
['1593778547734491136'],,2022-11-19T01:29:51.000Z,"RT @ruffleseed: See the effort the whole world come together to make sure every fucking vote count. 

See the people running around the worâ€¦",0,0.909,0.091,0.3182,positive
['1593778541694705664'],,2022-11-19T01:29:49.000Z,RT @501Awani: Astro AWANI akan membawakan laporan komprehensif perkembangan semasa sepanjang hari bermula pukul 7.00 pagi. Saat-saat yang dâ€¦,0,0.913,0.087,0.25,positive
['1593778532991533056'],,2022-11-19T01:29:47.000Z,#PRU15 https://t.co/gkAJ3hC27f,0,1,0,0,neutral
['1593778530910814208'],,2022-11-19T01:29:47.000Z,"RT @Sefasilent: Alhamdulillah, undi pos dari Jepun dah sampai ke Malaysia semalam. Tahniah komuniti yang berganding bahu!

Tq jugak kepadaâ€¦",0,0.811,0.189,0.5983,positive
['1593778527790592001'],,2022-11-19T01:29:46.000Z,"Keadaan terkini di pusat mengundi SMK Datoâ€™ Syed Esa di Batu Pahat.

#PRU15 #MalaysiaMemilih #Undi100Peratus #AstroRadioNews https://t.co/vEKr3SU52G",0,1,0,0,neutral
['1593778525450170368'],,2022-11-19T01:29:46.000Z,"RT @SyedSaddiq: Masa depan Malaysia di tangan anda!

âœ… Undi ialah hak anda! 

Keluar mengundi dan gunakan hak anda untuk memilih Malaysia yâ€¦",0,1,0,0,neutral
['1593778524682272769'],,2022-11-19T01:29:45.000Z,RT @BernamaTV: Petugas SPR sudah mula bertugas kerana ada dua pengundi yang telah sampai (sedang duduk) untuk mengambil giliran mengundi paâ€¦,0,1,0,0,neutral
['1593778524363821056'],,2022-11-19T01:29:45.000Z,"Big day today for #Malaysia, #GE15. Vote wisely Malaysians.

@azadrazack",0,0.763,0.237,0.4215,positive
['1593778523063582720'],,2022-11-19T01:29:45.000Z,"RT @f4izalhassan: Esok tamatlah drama â€œhari ini saya sempat bersarapan, menyantuni, mendekati, solat jemaah, singgah sebentar, mendalami deâ€¦",0.077,0.732,0.192,0.5106,positive
['1593778513986736128'],,2022-11-19T01:29:43.000Z,RT @kuasasiswa: Selesai sesi terakhir #KelasDemokrasi untuk pengundi baru sempena #PRU15. Terima kasih kepada semua mahasiswa dan anak mudaâ€¦,0,1,0,0,neutral
['1593778512158420992'],,2022-11-19T01:29:42.000Z,å¬è…»äº†çš„è´ªæ±¡ï¼ŒåŽŸæ¥å¯¹å›½å®¶ä¼¤å®³è¿™ä¹ˆå¤§ï¼Ÿè´¸æ¶ˆéƒ¨é•¿æ­éœ²è…è´¥å†…å¹•ï¼ft.å¼ å¥ä» https://t.co/azdEZ3EkW9 #sogoshare #bbknetwork #ge15 #pru15 #leopltcrt é™¤äº†æ”¿å®¢çš„è´ªæ±¡ï¼Œå¤§é©¬è´ªæ±¡è…è´¥çš„ç—‡ç»“çœŸæ­£åœ¨äºŽæ”¿åºœéƒ¨é—¨é‡Œçš„å®˜å‘˜ï¼Œåˆ¶åº¦åŒ–è´ªè…æ‰æ˜¯æˆ‘ä»¬å¿…é¡»å¤„ç†çš„é—®é¢˜ï¼Œä½†è¦è§£å†³è¿™ç—‡ç»“å¿…é¡»ä»°èµ–æœ‰å†³å¿ƒçš„æ¸…å»‰æ”¿åºœã€‚,0.058,0.849,0.093,0.4753,positive
['1593778509092380674'],,2022-11-19T01:29:42.000Z,"Now dh boleh sambung demam, batuk dan selsema balik ðŸ¤§ 

Remember everyone choose wisely don't forget selawat &amp; bismillah before you vote and from now on my campaign is over ðŸ˜

#GE15
#GeneralElection 
#Malaysia https://t.co/lyeOhHGJVd",0,0.892,0.108,0.5371,positive
['1593778502855438337'],,2022-11-19T01:29:40.000Z,RT @bernamadotcom: #PRU15 : PM Ismail Sabri Yaakob yang juga calon BN Parlimen Bera dan isteri Datin Seri Muhaini Zainal Abidin tiba di pusâ€¦,0,1,0,0,neutral
['1593778489941200896'],,2022-11-19T01:29:37.000Z,"RT @zack_rockstar: Keputusan poll di TikTok. MudahÂ²an menjadi realiti

#KitaBoleh 
#PRU15
#PakatanHarapan https://t.co/Y4e8tYxymX",0,1,0,0,neutral
['1593778484010430464'],,2022-11-19T01:29:36.000Z,RT @ihsanlikestoeat: ðŸš¨IMPORTANT: Check your no. saluran and angka giliran here: https://t.co/4EfBrm9zOO . SPR website is down. #GeneralElecâ€¦,0,1,0,0,neutral
